epoch,filter,low_hz,high_hz,center_hz,bandwidth_hz
4,3,13.46410083770752,18.11672592163086,15.790412902832031,4.65262508392334
4,4,17.572546005249023,22.557294845581055,20.06492042541504,4.984748840332031
4,5,21.564359664916992,26.92180061340332,24.243080139160156,5.357440948486328
4,6,26.14734649658203,31.3286190032959,28.73798370361328,5.181272506713867
4,7,30.858366012573242,35.477996826171875,33.168182373046875,4.619630813598633
5,0,0.8810781240463257,6.066105842590332,3.4735920429229736,5.185027599334717
5,1,5.309489727020264,10.387258529663086,7.848374366760254,5.077768802642822
5,2,9.287389755249023,14.60693645477295,11.947162628173828,5.319546699523926
5,3,13.4541654586792,18.101985931396484,15.778076171875,4.647820472717285
5,4,17.57915687561035,22.563257217407227,20.07120704650879,4.984100341796875
5,5,21.57018280029297,26.930110931396484,24.250146865844727,5.359928131103516
5,6,26.152372360229492,31.330745697021484,28.741558074951172,5.178373336791992
5,7,30.85464096069336,35.47816848754883,33.166404724121094,4.623527526855469
6,0,0.8826196789741516,6.069545745849609,3.4760828018188477,5.186925888061523
6,1,5.3082075119018555,10.382364273071289,7.845285892486572,5.074156761169434
6,2,9.285886764526367,14.609029769897461,11.947458267211914,5.323143005371094
6,3,13.458930969238281,18.10704803466797,15.782989501953125,4.6481170654296875
6,4,17.57798194885254,22.561241149902344,20.069610595703125,4.983259201049805
6,5,21.566808700561523,26.929489135742188,24.248149871826172,5.362680435180664
6,6,26.146080017089844,31.330297470092773,28.738189697265625,5.18421745300293
6,7,30.860671997070312,35.4827766418457,33.171722412109375,4.622104644775391
7,0,0.8794573545455933,6.065028190612793,3.472242832183838,5.18557071685791
7,1,5.312978267669678,10.392110824584961,7.852544784545898,5.079132556915283
7,2,9.289325714111328,14.607040405273438,11.948183059692383,5.317714691162109
7,3,13.456473350524902,18.099933624267578,15.778203964233398,4.643460273742676
7,4,17.571760177612305,22.55295753479004,20.062358856201172,4.981197357177734
7,5,21.569013595581055,26.93707275390625,24.25304412841797,5.368059158325195
7,6,26.142641067504883,31.326160430908203,28.73440170288086,5.18351936340332
7,7,30.8594970703125,35.48903274536133,33.17426300048828,4.629535675048828
8,0,0.879295825958252,6.064770221710205,3.4720330238342285,5.185474395751953
8,1,5.314152717590332,10.394651412963867,7.8544020652771,5.080498695373535
8,2,9.289795875549316,14.607203483581543,11.94849967956543,5.317407608032227
8,3,13.458331108093262,18.101911544799805,15.780120849609375,4.643580436706543
8,4,17.571460723876953,22.55065155029297,20.06105613708496,4.979190826416016
8,5,21.57062530517578,26.93609046936035,24.25335693359375,5.36546516418457
8,6,26.13918685913086,31.319904327392578,28.72954559326172,5.180717468261719
8,7,30.847999572753906,35.47547149658203,33.16173553466797,4.627471923828125
9,0,0.8826993703842163,6.074849605560303,3.4787745475769043,5.192150115966797
9,1,5.310351371765137,10.383766174316406,7.8470587730407715,5.0734148025512695
9,2,9.29049301147461,14.610248565673828,11.950370788574219,5.319755554199219
9,3,13.458194732666016,18.104965209960938,15.781579971313477,4.646770477294922
9,4,17.57439422607422,22.55126953125,20.06283187866211,4.976875305175781
9,5,21.56698989868164,26.935453414916992,24.251220703125,5.368463516235352
9,6,26.14529800415039,31.329313278198242,28.7373046875,5.184015274047852
9,7,30.854272842407227,35.48368453979492,33.16897964477539,4.629411697387695
10,0,0.8812113404273987,6.071767807006836,3.476489543914795,5.190556526184082
10,1,5.313003063201904,10.384336471557617,7.84867000579834,5.071333408355713
10,2,9.286272048950195,14.603351593017578,11.944811820983887,5.317079544067383
10,3,13.45669174194336,18.106117248535156,15.781404495239258,4.649425506591797
10,4,17.573728561401367,22.55121612548828,20.06247329711914,4.977487564086914
10,5,21.566837310791016,26.934560775756836,24.25069808959961,5.36772346496582
10,6,26.147605895996094,31.331281661987305,28.739444732666016,5.183675765991211
